30-04-2018 13:06:11.674 | DEBUG | main       | BankManagerLoginTest:12    | inside loginAsBankManager.
30-04-2018 13:06:12.372 | DEBUG | main       | BankManagerLoginTest:15    | loginAsBankManager successfully executed.
30-04-2018 13:06:13.653 | DEBUG | main       | .aibar.base.BaseTest:87    | test execution completed.
30-04-2018 13:07:06.560 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 13:07:06.568 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 13:07:06.662 | DEBUG | main       | .aibar.base.BaseTest:54    | chrome launched.
30-04-2018 13:07:20.387 | DEBUG | main       | .aibar.base.BaseTest:67    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
30-04-2018 13:07:21.540 | DEBUG | main       | BankManagerLoginTest:12    | inside loginAsBankManager.
30-04-2018 13:07:21.968 | DEBUG | main       | BankManagerLoginTest:15    | loginAsBankManager successfully executed.
30-04-2018 13:07:26.062 | DEBUG | main       | .aibar.base.BaseTest:87    | test execution completed.
30-04-2018 13:12:00.662 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 13:12:00.682 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 13:12:23.874 | DEBUG | main       | .aibar.base.BaseTest:69    | navigated to: http://www.way2automation.com/angularjs-protractor/banking/#/login
30-04-2018 13:12:25.507 | DEBUG | main       | BankManagerLoginTest:12    | inside loginAsBankManager.
30-04-2018 13:12:31.202 | DEBUG | main       | BankManagerLoginTest:15    | loginAsBankManager successfully executed.
30-04-2018 13:12:34.045 | DEBUG | main       | .aibar.base.BaseTest:89    | test execution completed.
30-04-2018 13:32:09.053 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 13:32:09.059 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
30-04-2018 13:34:29.744 | DEBUG | main       | .aibar.base.BaseTest:38    | config file loaded.
30-04-2018 13:34:29.750 | DEBUG | main       | .aibar.base.BaseTest:40    | objectRepository file loaded.
